#  eta  phi  dep  det     cap0     cap1     cap2     cap3  HcalDetId
     7    4    4   HB  3.23787  3.84010  3.91106  3.64752   46012384
     8    2    4   HB  4.23953  4.17874  4.15009  3.84182   46012402
     8    3    4   HB  4.11561  4.04159  3.87641  3.70438   46012403
     8    4    4   HB  3.76180  3.70142  3.62543  3.84384   46012404
     9    2    4   HB  4.04918  3.47518  3.84993  4.08617   46012482
     9    3    4   HB  3.96911  3.73168  4.10935  4.23859   46012483
     9    4    4   HB  4.14433  3.94083  3.59610  3.61481   46012484
    10    2    4   HB  3.80018  4.09130  4.18237  4.17132   46012502
    10    3    4   HB  3.81272  4.13250  3.91370  4.04179   46012503
    10    4    4   HB  3.80764  4.31540  3.90659  4.18630   46012504
    11    3    4   HB  3.84456  3.90765  4.06611  3.83298   46012583
    11    4    4   HB  3.61919  3.40846  4.04793  3.50625   46012584
    11    5    4   HB  3.71377  3.63173  3.88395  3.41865   46012585
    12    3    4   HB  3.70602  3.59254  4.27043  3.99738   46012603
    12    4    4   HB  3.53437  3.61916  3.75976  3.42574   46012604
    12    5    4   HB  3.58036  3.96376  3.97770  3.77593   46012605
    13    3    4   HB  3.96423  3.84187  3.94633  3.60377   46012683
    13    4    4   HB  3.70952  3.69413  4.11102  3.97692   46012684
    13    5    4   HB  3.88881  3.64203  3.88179  3.72661   46012685
    14    3    4   HB  3.78220  3.53900  3.98868  3.20087   46012703
    14    4    4   HB  3.84978  3.89859  4.02816  4.12655   46012704
    14    5    4   HB  3.84741  4.00750  4.15940  4.21488   46012705
    15    3    4   HB  3.95083  3.97310  4.10428  3.71540   46012783
    15    4    4   HB  3.66590  4.18176  3.87899  4.06681   46012784
    15    5    4   HB  3.97099  3.84813  3.98217  3.73685   46012785
